DTG,SSH,SST,Temp,Barometric Pressure,Residuals,Adjusted Residuals,Wind Direction,Wind Gust,Wind Speed,Niue
8/01/2020 21:00,NAN,NAN,NAN,1013.1,-0.078,-0.077,152,6,2.3,
8/01/2020 22:00,NAN,NAN,NAN,1012.6,-0.079,-0.081,153,6.3,3,
8/01/2020 23:00,NAN,NAN,NAN,1012.5,-0.061,-0.067,135,7.3,3.2,
9/01/2020 0:00,NAN,NAN,NAN,1012,-0.075,-0.082,101,5.8,1.9,
9/01/2020 1:00,NAN,NAN,NAN,1011.6,-0.083,-0.096,136,7,3.5,
9/01/2020 2:00,NAN,NAN,NAN,1011.1,-0.074,-0.091,143,7.4,2.1,
9/01/2020 3:00,NAN,NAN,NAN,1010.8,-0.064,-0.086,114,8.1,3.4,
9/01/2020 4:00,NAN,NAN,NAN,1010.7,-0.081,-0.106,134,6.3,2.4,
9/01/2020 5:00,NAN,NAN,NAN,1011.1,-0.082,-0.107,126,6.5,2.2,
9/01/2020 6:00,NAN,NAN,NAN,1012.1,-0.084,-0.104,119,6.5,0.7,
9/01/2020 7:00,NAN,NAN,NAN,1012.6,-0.094,-0.104,108,3.1,0.9,
9/01/2020 8:00,NAN,NAN,NAN,1013,-0.082,-0.088,70,2.3,0.3,
9/01/2020 9:00,NAN,NAN,NAN,1013.4,-0.084,-0.086,127,1.7,0.5,
9/01/2020 10:00,NAN,NAN,NAN,1013.2,-0.092,-0.09,72,1.9,0.3,
9/01/2020 11:00,NAN,NAN,NAN,1012.8,-0.097,-0.097,113,2.6,0.3,
9/01/2020 12:00,NAN,NAN,NAN,1012.1,-0.081,-0.086,113,2.1,0.5,
9/01/2020 13:00,NAN,NAN,NAN,1011.7,-0.069,-0.08,124,2.7,0.7,
9/01/2020 14:00,NAN,NAN,NAN,1011.2,-0.078,-0.094,128,2,0.6,
9/01/2020 15:00,NAN,NAN,NAN,1010.7,-0.077,-0.098,102,3.2,1,
9/01/2020 16:00,NAN,NAN,NAN,1010.9,-0.074,-0.099,125,2.9,1,
9/01/2020 17:00,NAN,NAN,NAN,1011.3,-0.061,-0.085,122,2.2,0.6,
9/01/2020 18:00,NAN,NAN,NAN,1012,-0.057,-0.076,113,3.7,1.2,
9/01/2020 19:00,NAN,NAN,NAN,1012.4,-0.071,-0.083,100,7.1,1.9,
9/01/2020 20:00,NAN,NAN,NAN,1012.3,-0.078,-0.086,101,6.8,2.1,
